reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,text.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.14227369999571238,,0.04885429999558255,0.14227369999571238,1.1036642999970354,1.1036642999970354,1.2204250999930082,10.866618599990034,t,None,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,0,1,1,0,10.900494799992885,,10.86969659999886,10.900494799992885,11.89955309999641,11.89955309999641,11.917109399990295,15.257423699993524,l,-0.8382433999940986,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,0,2,2,6,15.283809999993537,,15.258779799987678,15.283809999993537,16.26675609999802,16.26675609999802,16.28428690000146,18.556029699990177,t,-1.9109318999981042,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,0,3,3,1,18.56762409998919,,18.556690500001423,18.56762409998919,19.57083799999964,19.57083799999964,19.57083799999964,28.17673379999178,l,4.405957400012994,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,0,4,4,2,28.190373899997212,,28.177399099993636,28.190373899997212,29.188938399995095,29.188938399995095,29.203738699987298,32.312153599996236,l,-1.069748800000525,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,0,5,5,3,32.32231659999525,,32.31283349999285,32.32231659999525,33.324992199995904,33.324992199995904,33.324992199995904,37.34538729999622,t,-0.18533589999424294,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,0,6,6,4,37.35812879999867,,37.34607099999266,37.35812879999867,38.35832849999133,38.35832849999133,38.35832849999133,42.84678159999021,t,0.29358850000426173,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,1,0,7,3,42.860978699987754,,42.84718789999897,42.860978699987754,43.86135359999025,43.86135359999025,43.86135359999025,47.21694689999276,t,-0.8483338999940315,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,1,1,8,5,47.22942869999679,,47.217623799995636,47.22942869999679,48.22886189998826,48.22886189998826,48.22886189998826,193.67620409998926,t,141.2539301999932,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,1,2,9,2,193.7038528999983,,193.67697549999866,193.7038528999983,194.68836439998995,194.68836439998995,194.7024606999912,198.668213500001,l,-0.2219079999922542,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,1,3,10,4,198.68806489999406,,198.66903189998993,198.68806489999406,199.67256609999458,199.67256609999458,199.6892136999959,357.27375329998904,l,153.40771489999315,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,1,4,11,0,357.2846995,,357.2744887000008,357.2846995,358.2850768999924,358.2850768999924,358.2850768999924,362.3755659000017,t,-0.10273039998719469,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,1,5,12,1,362.38612229999853,,362.37598389999766,362.38612229999853,363.38540739999735,363.38540739999735,363.38540739999735,373.196881099997,l,5.618453600007342,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,1,6,13,6,373.20959230000153,,373.19758079999883,373.20959230000153,374.20855219999794,374.20855219999794,374.22457909998775,382.0485003999929,t,3.642745000004652,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,2,0,14,2,382.0608760999894,,382.04917279999063,382.0608760999894,383.0615577999997,383.0615577999997,383.0615577999997,388.08385460000136,t,0.8288215000065975,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,2,1,15,4,388.09486639998795,,388.08431729998847,388.09486639998795,389.09753609998734,389.09753609998734,389.09753609998734,393.65375289999065,t,0.35156920000736136,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,2,2,16,6,393.6654234000016,,393.6544298999943,393.6654234000016,394.66552859998774,394.66552859998774,394.6809816999885,400.62453449999157,t,1.7556571000022814,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,2,3,17,1,400.6519067999907,,400.625148799998,400.6519067999907,401.635549499988,401.635549499988,401.6517564999958,424.84804599999916,l,19.015636500000255,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,2,4,18,3,424.8615102999902,,424.84847779999836,424.8615102999902,425.86040419999335,425.86040419999335,425.86040419999335,433.0359427999938,t,None,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,2,5,19,0,433.0474067999894,,433.03669290000107,433.0474067999894,434.0476834000001,434.0476834000001,434.0476834000001,437.587546499999,l,-0.6534391000022879,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,2,6,20,5,437.59819619999325,,437.5879572999984,437.59819619999325,438.5992655000009,438.5992655000009,438.5992655000009,478.7203518999886,t,35.91851500001212,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,3,0,21,3,478.73196189999,,478.7208154999971,478.73196189999,479.73240299998724,479.73240299998724,479.73240299998724,485.5567199999932,t,1.6283154999982798,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,3,1,22,6,485.56838489999063,,485.55737809999846,485.56838489999063,486.5681089999998,486.5681089999998,486.5681089999998,488.67330799999763,l,-2.0946612999978242,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,3,2,23,4,488.68608210000093,,488.6739693999989,488.68608210000093,489.6867678999988,489.6867678999988,489.6867678999988,495.62764819999575,t,1.7473553000018,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,3,3,24,1,495.63938309998775,,495.6283082000009,495.63938309998775,496.63968490000116,496.63968490000116,496.63968490000116,556.9676010999974,l,56.12869820000196,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,3,4,25,0,556.9794092999946,,556.9682965999964,556.9794092999946,557.9794328999997,557.9794328999997,557.9794328999997,561.1534707999963,l,-1.0274932000029366,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,3,5,26,2,561.1644197999995,,561.1541690999875,561.1644197999995,562.1646083999949,562.1646083999949,562.1646083999949,618.5422059999983,l,52.17994980000367,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,3,6,27,5,618.5539758999948,,618.5429031999956,618.5539758999948,619.553476000001,619.553476000001,619.553476000001,627.6963427999872,t,3.949698600001284,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,4,0,28,3,627.7072990999877,,627.6970463999896,627.7072990999877,628.7075060999923,628.7075060999923,628.7075060999923,638.716875099999,t,5.809225100005278,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
